x,y,label
5.57,-9.19,1
13.02,-7.91,1
-7.51,-10.39,1
-10.16,8.54,1
10.41,-8.08,1
-7.68,-7.45,1
9.58,-8.88,1
-13.83,11.18,1
7.31,-11.72,1
12.03,7.33,1
10.33,8.06,1
-10.08,10.91,1
-10.12,8.87,1
-13.61,10.82,1
9.09,-8.85,1
8.95,10.87,1
-12.1,11.96,1
-10.29,8.55,1
8.94,6.13,1
-9.06,-8.13,1
-8.88,10.58,1
-10.04,-9.12,1
10.62,-8.89,1
-8.92,-9.36,1
9.69,-8.89,1
-9.35,13.69,1
-11.36,11.51,1
-9.66,-9.01,1
-14.9,-7.25,1
-9.64,9.57,1
-9.04,7.99,1
-10.07,11.71,1
10.11,10.55,1
10.58,-10.58,1
8.77,-7.77,1
-7.02,9.62,1
-11.25,-10.01,1
-11.12,9.91,1
-7.68,12.67,1
10.97,-8.02,1
11.81,-11.22,1
11.14,-9.24,1
9.02,-11.14,1
-5.77,10.11,1
-8.85,7.3,1
10.77,12.62,1
8.95,-7.15,1
-11.54,-10.07,1
-6.15,9.28,1
-9.21,8.02,1
-8.56,5.94,1
-7.55,-9.1,1
8.0,9.87,1
7.43,10.71,1
10.51,-13.09,1
6.9,-10.67,1
9.94,-9.64,1
-9.92,10.84,1
12.23,11.43,1
-12.37,-8.22,1
-10.71,8.9,1
12.33,11.72,1
10.02,-11.11,1
-8.11,-13.24,1
-10.43,-7.59,1
-8.78,10.5,1
-10.99,6.85,1
6.96,-11.15,1
10.15,-9.68,1
-8.26,5.92,1
-6.32,-10.3,1
8.77,-6.91,1
10.59,-8.51,1
-6.28,-10.23,1
-7.72,9.64,1
-10.15,10.51,1
4.53,12.93,1
11.86,8.1,1
9.73,11.57,1
8.96,5.68,1
-7.53,9.57,1
-14.41,10.36,1
8.8,9.68,1
10.5,11.71,1
8.84,10.51,1
10.48,13.4,1
-6.61,11.11,1
-10.13,-10.89,1
8.61,9.47,1
6.84,-11.49,1
8.25,11.86,1
9.04,9.6,1
11.43,11.31,1
10.93,10.43,1
9.0,11.64,1
11.09,8.43,1
9.33,10.38,1
10.78,-8.01,1
-10.23,-9.24,1
11.77,11.19,1
12.0,11.51,1
-7.96,6.83,1
-11.86,11.62,1
10.7,14.47,1
-9.34,-8.26,1
-12.28,10.0,1
6.49,-11.33,1
-8.74,10.38,1
8.49,-11.04,1
7.97,-9.11,1
-10.48,-9.43,1
11.98,6.33,1
-12.43,-11.28,1
12.13,-10.27,1
-8.83,10.07,1
9.38,12.81,1
-8.08,-12.32,1
9.22,8.95,1
6.84,-9.74,1
7.36,-9.67,1
6.57,-10.82,1
7.6,-12.45,1
12.41,8.83,1
6.36,10.29,1
12.89,11.51,1
-12.24,10.64,1
-9.39,11.53,1
7.71,9.5,1
6.38,6.82,1
-10.89,11.45,1
7.1,9.97,1
12.39,-11.39,1
9.25,9.26,1
8.16,-7.35,1
9.32,10.12,1
7.68,-10.76,1
12.3,7.87,1
-8.0,-8.54,1
-8.63,6.56,1
-12.31,9.9,1
9.94,-9.94,1
13.87,-6.74,1
8.29,-10.83,1
11.38,10.01,1
-8.39,-9.73,1
10.24,11.36,1
9.38,-8.33,1
-10.53,-11.69,1
13.71,-9.93,1
-7.81,-13.66,1
12.37,9.53,1
-12.81,11.98,1
-12.29,-13.04,1
-8.5,-8.99,1
10.73,10.61,1
-4.73,11.18,1
11.17,-11.26,1
8.72,8.82,1
8.96,11.67,1
-8.18,-9.58,1
-11.8,-10.81,1
-13.48,-12.69,1
6.24,-11.24,1
8.1,-8.38,1
11.63,-8.26,1
10.07,-7.87,1
8.58,-11.98,1
6.22,-9.21,1
10.5,9.54,1
8.17,10.82,1
-14.03,-12.07,1
7.07,9.57,1
11.32,-8.25,1
-12.14,-3.18,1
9.85,11.27,1
8.92,-7.9,1
6.37,11.6,1
-7.78,10.69,1
-10.75,-10.46,1
7.84,8.12,1
14.25,-10.02,1
-12.51,-9.37,1
9.79,-8.72,1
11.15,-10.89,1
10.05,10.78,1
-7.37,-11.75,1
-6.73,13.32,1
8.72,11.03,1
-10.44,10.12,1
11.71,-11.41,1
8.32,7.41,1
-8.69,11.31,1
-8.67,7.39,1
-8.27,-12.17,1
8.64,10.11,1
12.77,-9.28,1
-10.59,11.48,1
-12.77,-13.86,1
-10.93,11.91,1
-12.55,-14.4,1
10.19,-11.31,1
-9.31,-9.03,1
8.65,-15.45,1
-12.0,7.4,1
-12.27,-11.85,1
12.43,-11.76,1
-8.32,-9.57,1
11.16,7.61,1
13.09,7.93,1
8.98,13.86,1
-16.32,12.71,1
-10.86,-8.09,1
13.75,-4.31,1
10.18,10.99,1
14.49,13.11,1
-12.41,10.59,1
5.23,-14.03,1
10.71,-12.14,1
-9.53,12.92,1
-11.5,8.99,1
-8.26,-13.59,1
-7.62,6.88,1
10.56,10.1,1
12.2,-7.08,1
9.57,-11.69,1
13.92,14.45,1
11.64,9.43,1
10.5,7.85,1
7.7,-10.91,1
10.86,-11.01,1
-8.93,-16.51,1
-12.15,8.85,1
7.5,8.44,1
-11.58,7.52,1
7.73,11.29,1
9.75,10.01,1
10.85,9.02,1
-6.59,5.9,1
13.31,11.91,1
11.08,-9.41,1
8.61,10.61,1
9.85,9.33,1
-8.21,11.7,1
-10.63,-7.98,1
9.61,-10.3,1
9.84,-8.35,1
8.34,-12.31,1
9.64,-8.26,1
-10.53,-11.26,1
-5.63,10.49,1
-8.5,-12.25,1
10.09,8.2,1
11.01,-10.68,1
8.39,9.79,1
10.86,8.32,1
11.98,-11.76,1
-7.05,-11.01,1
-11.99,10.31,1
11.12,9.6,1
-10.61,13.59,1
5.16,-7.79,1
10.91,-11.37,1
9.3,-13.36,1
-8.08,9.91,1
11.64,-10.68,1
13.4,-11.83,1
7.72,11.92,1
-7.36,-13.1,1
-9.44,12.84,1
11.12,7.79,1
-13.07,-10.01,1
-13.43,11.51,1
-10.32,11.02,1
-10.89,-5.15,1
-9.62,9.84,1
-7.28,6.56,1
-12.7,11.6,1
8.34,11.25,1
-8.63,-14.28,1
8.87,-7.89,1
6.39,10.06,1
-10.41,-10.84,1
-8.7,-7.6,1
-10.46,7.32,1
-8.11,-13.21,1
12.07,-9.38,1
10.65,9.16,1
-11.28,-9.61,1
8.85,-10.34,1
12.4,-9.25,1
-8.53,-15.04,1
11.79,9.73,1
-11.16,-8.26,1
-10.49,-9.23,1
-7.92,-10.47,1
6.2,-9.06,1
